coin,exchange,pull
SCR,binance-futures,1
SCR,bybit,1
MAV,binance-futures,1
MAV,bybit,1
IDOL,binance-futures,1
HEI,binance-futures,1
HEI,bybit,1
HAEDAL,binance-futures,1
HAEDAL,bybit,1
AGT,binance-futures,1
RLC,binance-futures,1
RLC,bybit,1
SPORTFUN,binance-futures,1
SPORTFUN,bybit,1
MAVIA,binance-futures,1
MAVIA,bybit,1
HFT,binance-futures,1
HFT,bybit,1
HNT,bybit,1
PHA,binance-futures,1
PHA,bybit,1
NOM,binance-futures,1
NOM,bybit,1
AERGO,binance-futures,1
AERGO,bybit,1
APR,binance-futures,1
APR,bybit,1
THE,binance-futures,1
THE,bybit,1
ICX,binance-futures,1
ICX,bybit,1
FIDA,binance-futures,1
FIDA,bybit,1
IR,binance-futures,1
DOGS,binance-futures,1
RECALL,binance-futures,1
RECALL,bybit,1
DEGO,binance-futures,1
TAIKO,binance-futures,1
TAIKO,bybit,1
C,binance-futures,1
C,bybit,1
LQTY,binance-futures,1
LQTY,bybit,1
EPIC,binance-futures,1
EPIC,bybit,1
TOWNS,binance-futures,1
TOWNS,bybit,1
PHB,binance-futures,1
PHB,bybit,1
ARK,binance-futures,1
ARK,bybit,1
PIXEL,binance-futures,1
PIXEL,bybit,1
ALPINE,binance-futures,1
ALPINE,bybit,1
EUL,binance-futures,1
EUL,bybit,1
NAORIS,binance-futures,1
NAORIS,bybit,1
SIREN,binance-futures,1
SIREN,bybit,1
IOTX,binance-futures,1
IOTX,bybit,1
A2Z,binance-futures,1
A2Z,bybit,1
FLUX,binance-futures,1
FLUX,bybit,1
FIO,binance-futures,1
FIO,bybit,1
1000CAT,binance-futures,1
1000CAT,bybit,1
MLN,binance-futures,1
MLN,bybit,1
SXT,binance-futures,1
SXT,bybit,1
FLOCK,binance-futures,1
FLOCK,bybit,1
ACX,binance-futures,1
ACX,bybit,1
OGN,binance-futures,1
OGN,bybit,1
DAM,binance-futures,1
DENT,binance-futures,1
DENT,bybit,1
SOLV,bybit,1
SOLV,okex-swap,1
ES,bybit,1
KOMA,binance-futures,1
TRU,binance-futures,1
TRU,bybit,1
ALL,binance-futures,1
MTL,binance-futures,1
MTL,bybit,1
RLS,binance-futures,1
RLS,bybit,1
RLS,okex-swap,1
HIVE,binance-futures,1
HIVE,bybit,1
CETUS,binance-futures,1
CETUS,bybit,1
PUNDIX,binance-futures,1
PUNDIX,bybit,1
GTC,binance-futures,1
HOOK,binance-futures,1
HOOK,bybit,1
TAC,binance-futures,1
TAC,bybit,1
HIGH,binance-futures,1
HIGH,bybit,1
ETHW,binance-futures,1
ETHW,okex-swap,1
IN,binance-futures,1
IN,bybit,1
PORTAL,binance-futures,1
PORTAL,bybit,1
BLAST,bybit,1
BROCCOLIF3B,binance-futures,1
WAVES,bybit,1
HOT,binance-futures,1
GIGA,bybit,1
1000TOSHI,bybit,1
WAXP,binance-futures,1
WAXP,bybit,1
STEEM,binance-futures,1
STEEM,bybit,1
USDE,bybit,1
1000XEC,binance-futures,1
1000XEC,bybit,1
ERA,bybit,1
MAGMA,binance-futures,1
MAGMA,bybit,1
LUMIA,binance-futures,1
LUMIA,bybit,1
BOB,binance-futures,1
BOB,bybit,1
PUFFER,binance-futures,1
PUFFER,bybit,1
TANSSI,binance-futures,1
TOSHI,binance-futures,1
SYN,binance-futures,1
SYN,bybit,1
NFP,binance-futures,1
NFP,bybit,1
FLR,bybit,1
SXP,bybit,1
FUN,binance-futures,1
JCT,binance-futures,1
JCT,bybit,1
POWR,binance-futures,1
POWR,bybit,1
AIOT,binance-futures,1
DIA,binance-futures,1
DIA,bybit,1
RPL,binance-futures,1
RPL,bybit,1
VIC,binance-futures,1
VIC,bybit,1
10000WHY,binance-futures,1
MOVR,binance-futures,1
MOVR,bybit,1
ONG,binance-futures,1
ONG,bybit,1
NTRN,binance-futures,1
NTRN,bybit,1
DEGEN,binance-futures,1
DEGEN,bybit,1
OL,binance-futures,1
OL,bybit,1
VFY,binance-futures,1
VFY,bybit,1
JOE,binance-futures,1
DOG,bybit,1
1000NEIROCTO,bybit,1
TLM,binance-futures,1
TLM,bybit,1
NKN,binance-futures,1
NKN,bybit,1
PUMPBTC,binance-futures,1
PUMPBTC,bybit,1
OXT,binance-futures,1
OXT,bybit,1
G,binance-futures,1
AI,binance-futures,1
BMT,binance-futures,1
BMT,bybit,1
RIF,binance-futures,1
SYS,binance-futures,1
SYS,bybit,1
BNT,binance-futures,1
BNT,bybit,1
SOSO,bybit,1
42,binance-futures,1
DODOX,binance-futures,1
DODOX,bybit,1
HPOS10I,bybit,1
CELR,binance-futures,1
ATA,binance-futures,1
DF,binance-futures,1
VTHO,binance-futures,1
MBOX,binance-futures,1
MBOX,bybit,1
BROCCOLI,bybit,1
FORTH,binance-futures,1
DBR,bybit,1
GHST,binance-futures,1
AGI,bybit,1
VELO,bybit,1
PONKE,bybit,1
ROAM,bybit,1
USD1,bybit,1
ALEO,bybit,1
BSU,bybit,1
BR,binance-futures,1
BR,bybit,1
AIOZ,bybit,1
TURTLE,bybit,1
SC,bybit,1
PEAQ,bybit,1
1000000BOB,binance-futures,1
1000BTT,bybit,1
SNT,bybit,1
