coin,exchange,pull
M,bybit,1
M,hyperliquid,1
M,okex-swap,1
MAGIC,binance-futures,1
MAGIC,bybit,1
MAGIC,hyperliquid,1
MAGIC,okex-swap,1
MAGMA,binance-futures,1
MAGMA,bybit,1
MAGMA,hyperliquid,1
MAGMA,okex-swap,1
MANA,binance-futures,1
MANA,bybit,1
MANA,hyperliquid,1
MANA,okex-swap,1
MANTA,binance-futures,1
MANTA,bybit,1
MANTA,hyperliquid,1
MANTA,okex-swap,1
MASK,binance-futures,1
MASK,bybit,1
MASK,hyperliquid,1
MASK,okex-swap,1
MAV,binance-futures,1
MAV,bybit,1
MAV,hyperliquid,1
MAV,okex-swap,1
MAVIA,binance-futures,1
MAVIA,bybit,1
MAVIA,hyperliquid,1
MAVIA,okex-swap,1
MBOX,binance-futures,1
MBOX,bybit,1
MBOX,hyperliquid,1
MBOX,okex-swap,1
ME,binance-futures,1
ME,bybit,1
ME,hyperliquid,1
ME,okex-swap,1
MELANIA,binance-futures,1
MELANIA,bybit,1
MELANIA,hyperliquid,1
MELANIA,okex-swap,1
MEME,binance-futures,1
MEME,bybit,1
MEME,hyperliquid,1
MEME,okex-swap,1
MERL,binance-futures,1
MERL,bybit,1
MERL,hyperliquid,1
MERL,okex-swap,1
MET,binance-futures,1
MET,bybit,1
MET,hyperliquid,1
MET,okex-swap,1
METIS,binance-futures,1
METIS,bybit,1
METIS,hyperliquid,1
METIS,okex-swap,1
MEW,binance-futures,1
MEW,bybit,1
MEW,hyperliquid,1
MEW,okex-swap,1
MINA,binance-futures,1
MINA,bybit,1
MINA,hyperliquid,1
MINA,okex-swap,1
MIRA,binance-futures,1
